questionid,title,text,code,hint,choices,answer,explanation
69,部分文字列を含むか判定,文字列に 'cat' を含むか調べるメソッドは？,"const str = ""concatenate"";
console.log(str.____(""cat""));",真偽値で返す,"includes,indexOf,search,find",includes,"includes [正解] - 文字列に部分文字列を含むか true/false を返す。
indexOf [不正解] - 最初の一致位置を数値で返す。
search [不正解] - 正規表現の一致位置を返す。
find [不正解] - 配列専用メソッドで文字列には使わない。"
70,最初の位置を取得,配列に 5 がある最初の位置を返すメソッドは？,"const nums = [3,5,5];
console.log(nums.____(5));",見つからなければ -1,"indexOf,findIndex,includes,some",indexOf,"indexOf [正解] - 指定値が最初に現れるインデックスを返す。
findIndex [不正解] - 条件関数で検索する。
includes [不正解] - 含むかどうかを真偽値で返す。
some [不正解] - 条件を満たす要素があるかを真偽値で返す。"
71,区切り文字なしで連結,配列を '' 区切りで連結した文字列を作るメソッドは？,"const chars = [""H"",""i""];
console.log(chars.____(""""));",配列 → 文字列 方向,"join,concat,toString,map",join,"join [正解] - 区切り文字を指定して配列を連結し文字列を返す。
concat [不正解] - 配列同士を結合して新配列を返す。
toString [不正解] - 区切りは常にカンマ。
map [不正解] - 要素変換を行い新配列を返す。"
72,絶対値を求める,-3 の絶対値を返すメソッドは？,console.log(Math.____(-3));,引数は 1 つ,"abs,floor,ceil,round",abs,"abs [正解] - 引数の絶対値を返す。
floor [不正解] - 小さい整数に切り捨てる。
ceil [不正解] - 大きい整数に切り上げる。
round [不正解] - 四捨五入する。"
73,切り捨て,3.9 を小さい整数に切り捨てるメソッドは？,console.log(Math.____(3.9));,戻り値は 3,"floor,ceil,round,trunc",floor,"floor [正解] - 小数点以下を切り捨てて整数を返す。
ceil [不正解] - 切り上げ。
round [不正解] - 四捨五入。
trunc [不正解] - 整数部分を返すが負数の扱いが floor と異なる。"
74,切り上げ,3.1 を大きい整数に切り上げるメソッドは？,console.log(Math.____(3.1));,戻り値は 4,"ceil,floor,round,abs",ceil,"ceil [正解] - 小数点以下を切り上げて整数を返す。
floor [不正解] - 切り捨てる。
round [不正解] - 四捨五入。
abs [不正解] - 絶対値を返す。"
75,四捨五入,3.6 を四捨五入するメソッドは？,console.log(Math.____(3.6));,0.5 以上は繰り上げ,"round,ceil,floor,trunc",round,"round [正解] - 四捨五入して最も近い整数を返す。
ceil [不正解] - 常に切り上げ。
floor [不正解] - 常に切り捨て。
trunc [不正解] - 小数部を単純に除く。"
76,最大値を求める,最大値を取得するメソッドは？,"console.log(Math.____(1,4,2));",可変長引数,"max,min,ceil,floor",max,"max [正解] - 引数の中で最大の数値を返す。
min [不正解] - 最小値を返す。
ceil [不正解] - 切り上げ計算。
floor [不正解] - 切り捨て計算。"
77,最小値を求める,最小値を取得するメソッドは？,"console.log(Math.____(1,4,2));",可変長引数,"min,max,abs,round",min,"min [正解] - 引数の中で最小の数値を返す。
max [不正解] - 最大値を返す。
abs [不正解] - 絶対値を返す。
round [不正解] - 四捨五入する。"
78,乱数を生成,0 以上 1 未満の乱数を返すメソッドは？,console.log(Math.____());,引数は不要,"random,floor,abs,sqrt",random,"random [正解] - 擬似乱数を 0 以上 1 未満で返す。
floor [不正解] - 整数に切り捨てる。
abs [不正解] - 絶対値。
sqrt [不正解] - 平方根を求める。"
79,べき乗を求める,2 の 3 乗を計算するメソッドは？,"console.log(Math.____(2,3));",演算子 ** の代替,"pow,sqrt,max,min",pow,"pow [正解] - 基数と指数を渡してべき乗を返す。
sqrt [不正解] - 平方根を求める。
max [不正解] - 最大値を求める。
min [不正解] - 最小値を求める。"
80,平方根を求める,16 の平方根を求めるメソッドは？,console.log(Math.____(16));,戻り値は 4,"sqrt,pow,abs,round",sqrt,"sqrt [正解] - 引数の平方根を返す。
pow [不正解] - べき乗を計算する。
abs [不正解] - 絶対値。
round [不正解] - 四捨五入。"
81,整数部分を取得,3.9 の整数部分を取得するメソッドは？,console.log(Math.____(3.9));,符号は保持,"trunc,floor,round,ceil",trunc,"trunc [正解] - 小数部を切り捨て整数部分だけを返す。
floor [不正解] - 正の数では trunc と同じだが負数では異なる。
round [不正解] - 四捨五入。
ceil [不正解] - 切り上げ。"
82,符号を判定,-5 の符号を調べるメソッドは？,console.log(Math.____(-5));,"戻り値は -1, 0, 1","sign,abs,floor,min",sign,"sign [正解] - 数値の符号を -1, 0, 1 で返す。
abs [不正解] - 絶対値で符号情報は失う。
floor [不正解] - 切り捨て。
min [不正解] - 最小値を求める。"
83,現在のタイムスタンプ,Date.now で現在のミリ秒を取得するメソッドは？,console.log(Date.____());,UNIX エポックからの ms,"now,getTime,valueOf,parse",now,"now [正解] - 現在時刻のタイムスタンプを返す。
getTime [不正解] - Date インスタンスから取得するメソッド。
valueOf [不正解] - getTime と同等だがインスタンス用。
parse [不正解] - 日付文字列を解析してタイムスタンプに変換する。"
84,年を取得,Date オブジェクトから西暦年を取得するメソッドは？,"const d = new Date(""2025-08-05"");
console.log(d.____());",4 桁の年を返す,"getFullYear,getYear,getMonth,getDate",getFullYear,"getFullYear [正解] - 西暦年を 4 桁で返す。
getYear [不正解] - 1900 を基準とした値を返し推奨されない。
getMonth [不正解] - 月(0-11)を返す。
getDate [不正解] - 日(1-31)を返す。"
85,月を取得,Date オブジェクトから月 (0-11) を取得するメソッドは？,"const d = new Date(""2025-08-05"");
console.log(d.____());",0 が 1 月,"getMonth,getDate,getDay,getHours",getMonth,"getMonth [正解] - 月を 0-11 で返す。
getDate [不正解] - 日付を返す。
getDay [不正解] - 曜日を返す。
getHours [不正解] - 時を返す。"
86,日を取得,Date オブジェクトから日付 (1-31) を取得するメソッドは？,"const d = new Date(""2025-08-05"");
console.log(d.____());",月中の日を返す,"getDate,getDay,getMonth,getMinutes",getDate,"getDate [正解] - 日付を 1-31 で返す。
getDay [不正解] - 曜日(0-6)を返す。
getMonth [不正解] - 月を返す。
getMinutes [不正解] - 分を返す。"
87,曜日を取得,Date オブジェクトから曜日 (0-6) を取得するメソッドは？,"const d = new Date(""2025-08-05"");
console.log(d.____());",0 が日曜日,"getDay,getDate,getMonth,getHours",getDay,"getDay [正解] - 曜日を 0-6 で返す。
getDate [不正解] - 日付を返す。
getMonth [不正解] - 月を返す。
getHours [不正解] - 時を返す。"
88,時を取得,Date から時 (0-23) を取得するメソッドは？,"const d = new Date(""2025-08-05T15:00"");
console.log(d.____());",24 時間表記,"getHours,getMinutes,getSeconds,getMilliseconds",getHours,"getHours [正解] - 時を 0-23 で返す。
getMinutes [不正解] - 分を返す。
getSeconds [不正解] - 秒を返す。
getMilliseconds [不正解] - ミリ秒を返す。"
89,分を取得,Date から分 (0-59) を取得するメソッドは？,"const d = new Date(""2025-08-05T15:20"");
console.log(d.____());",0-59 を返す,"getMinutes,getSeconds,getHours,getDate",getMinutes,"getMinutes [正解] - 分を 0-59 で返す。
getSeconds [不正解] - 秒を返す。
getHours [不正解] - 時を返す。
getDate [不正解] - 日付を返す。"
90,秒を取得,Date から秒 (0-59) を取得するメソッドは？,"const d = new Date(""2025-08-05T15:20:45"");
console.log(d.____());",0-59 を返す,"getSeconds,getMinutes,getMilliseconds,getHours",getSeconds,"getSeconds [正解] - 秒を 0-59 で返す。
getMinutes [不正解] - 分を返す。
getMilliseconds [不正解] - ミリ秒を返す。
getHours [不正解] - 時を返す。"
91,年を設定,年を 2030 に変更するメソッドは？,"const d = new Date(""2025-01-01"");
d.____(2030);
console.log(d.getFullYear());",破壊的に変更する,"setFullYear,setYear,setDate,setMonth",setFullYear,"setFullYear [正解] - 年を 4 桁で設定する。
setYear [不正解] - 推奨されない旧メソッド。
setDate [不正解] - 日を設定する。
setMonth [不正解] - 月を設定する。"
92,月を設定,月を 11 月 (10) に変更するメソッドは？,"const d = new Date();
d.____(10);
console.log(d.getMonth());",0 ベースで指定,"setMonth,setDate,setHours,setFullYear",setMonth,"setMonth [正解] - 月を 0-11 で設定する。
setDate [不正解] - 日を設定する。
setHours [不正解] - 時を設定する。
setFullYear [不正解] - 年を設定する。"
93,日を設定,日付を 15 日に変更するメソッドは？,"const d = new Date();
d.____(15);
console.log(d.getDate());",月をまたぐと自動調整,"setDate,setDay,setMonth,setMinutes",setDate,"setDate [正解] - 日付を 1-31 で設定する。
setDay [不正解] - 標準メソッドには存在しない。
setMonth [不正解] - 月を設定する。
setMinutes [不正解] - 分を設定する。"
94,時を設定,時を 9 時に変更するメソッドは？,"const d = new Date();
d.____(9);
console.log(d.getHours());",24 時間表記,"setHours,setMinutes,setSeconds,setFullYear",setHours,"setHours [正解] - 時を 0-23 で設定する。
setMinutes [不正解] - 分を設定する。
setSeconds [不正解] - 秒を設定する。
setFullYear [不正解] - 年を設定する。"
95,ISO 文字列に変換,Date を ISO 形式文字列に変換するメソッドは？,"const d = new Date(""2025-08-05T00:00:00Z"");
console.log(d.____());",Z 付きの UTC 文字列,"toISOString,toString,toUTCString,toLocaleString",toISOString,"toISOString [正解] - ISO 8601 形式の UTC 文字列を返す。
toString [不正解] - ローカルタイムを含む書式。
toUTCString [不正解] - 人間向けの UTC 文字列。
toLocaleString [不正解] - ロケールに依存した書式で返す。"
96,オブジェクトを JSON 化,オブジェクトを JSON 文字列に変換するメソッドは？,"const obj = {a:1};
console.log(JSON.____(obj));",インデントなし,"stringify,parse,toString,encodeURI",stringify,"stringify [正解] - JavaScript オブジェクトを JSON 形式の文字列にする。
parse [不正解] - 文字列をオブジェクトに変換する逆操作。
toString [不正解] - オブジェクトの型名などを返すだけ。
encodeURI [不正解] - URI をエンコードする。"
97,JSON 文字列を解析,JSON 文字列をオブジェクトに変換するメソッドは？,"const s = ""{\""a\"":1}"";
console.log(JSON.____(s));",第 2 引数で変換関数が指定可,"parse,stringify,eval,decodeURI",parse,"parse [正解] - JSON 文字列を JavaScript オブジェクトに変換する。
stringify [不正解] - オブジェクトを文字列化する。
eval [不正解] - セキュリティ上推奨されないコード実行。
decodeURI [不正解] - URI デコード関数。"
98,NaN か判定,値が NaN かどうか判定するメソッドは？,console.log(Number.____(NaN));,厳密比較でのみ true,"isNaN,parseInt,isFinite,abs",isNaN,"isNaN [正解] - 値が NaN であるかを厳密に判定する。
parseInt [不正解] - 文字列を整数に変換する関数。
isFinite [不正解] - 有限数かどうかを判定する。
abs [不正解] - 絶対値を求める。"
99,文字列を整数に変換,10 を基数 2 として数値に変換するメソッドは？,"console.log(Number.____(""10"",2));",第二引数は基数,"parseInt,parseFloat,toString,valueOf",parseInt,"parseInt [正解] - 指定した基数で文字列を整数に変換する。
parseFloat [不正解] - 浮動小数点数に変換する。
toString [不正解] - 数値を文字列に変換。
valueOf [不正解] - オブジェクトの原始値を返す。"
100,文字列を浮動小数に変換,3.14 を数値に変換するメソッドは？,"console.log(Number.____(""3.14""));",小数点を解釈,"parseFloat,parseInt,toFixed,round",parseFloat,"parseFloat [正解] - 文字列を浮動小数点数に変換する。
parseInt [不正解] - 整数として変換し小数部を切り捨てる。
toFixed [不正解] - 数値を固定小数点の文字列に変換。
round [不正解] - 四捨五入して整数を返す。"
